               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074075,            0.020349,            0.037533,             0.40742,             0.70106,             0.46461,             0.21508,            0.041609,            0.013488,            0.024594,            0.083553,           0.0025909,           0.0025909
                   1,            0.045439,            0.014368,            0.019587,             0.58017,             0.75612,             0.73185,             0.43065,            0.034575,            0.012215,             0.01852,            0.044884,           0.0051682,           0.0051682
                   2,            0.033913,            0.013018,           0.0053572,             0.73561,             0.78014,             0.81664,             0.52104,            0.029736,            0.011668,            0.010955,           0.0076294,           0.0076294,           0.0076294
                   3,            0.026489,            0.011877,           0.0030187,             0.82002,             0.85744,             0.91523,             0.70088,            0.020793,           0.0091474,           0.0038608,           0.0076294,           0.0076294,           0.0076294
                   4,            0.022222,             0.01073,           0.0019607,             0.85126,             0.87526,             0.93038,             0.73892,            0.017632,           0.0089373,           0.0018664,           0.0075991,           0.0075991,           0.0075991
                   5,            0.020434,            0.010184,           0.0017057,              0.8397,              0.8684,             0.92673,             0.74762,            0.017807,           0.0085171,           0.0027132,           0.0075688,           0.0075688,           0.0075688
                   6,            0.019491,           0.0099362,           0.0015731,             0.86455,             0.87825,             0.94198,              0.7702,            0.017457,           0.0076517,           0.0023726,           0.0075385,           0.0075385,           0.0075385
                   7,            0.018706,           0.0096853,           0.0014222,             0.86827,             0.89466,             0.94792,             0.80069,            0.015212,           0.0078265,           0.0011826,           0.0075081,           0.0075081,           0.0075081
                   8,            0.018459,           0.0096149,            0.001407,             0.86595,             0.89769,             0.94948,             0.79929,            0.015128,           0.0075109,           0.0012067,           0.0074778,           0.0074778,           0.0074778
                   9,             0.01802,           0.0094094,            0.001382,             0.85025,             0.88346,             0.93978,             0.78156,             0.01561,           0.0071745,           0.0043786,           0.0074475,           0.0074475,           0.0074475
                  10,            0.017603,           0.0093461,           0.0013186,              0.8677,             0.89688,             0.94899,             0.81445,            0.014146,           0.0076689,          0.00091602,           0.0074172,           0.0074172,           0.0074172
                  11,            0.017418,           0.0092261,           0.0013012,             0.88865,             0.90417,             0.95824,             0.82658,            0.013376,            0.006843,          0.00088207,           0.0073869,           0.0073869,           0.0073869
                  12,            0.017244,           0.0091679,           0.0012497,             0.87772,             0.91526,             0.95668,             0.81604,            0.014386,           0.0071227,          0.00084805,           0.0073566,           0.0073566,           0.0073566
                  13,            0.017155,           0.0091205,           0.0012745,             0.90175,              0.9087,             0.96444,             0.84516,            0.012741,           0.0066545,            0.001063,           0.0073263,           0.0073263,           0.0073263
                  14,            0.016639,           0.0090234,           0.0012743,             0.89375,             0.90134,             0.96122,             0.84025,            0.012949,           0.0068426,           0.0010561,            0.007296,            0.007296,            0.007296
                  15,            0.016769,           0.0090324,           0.0012429,             0.90037,             0.93253,             0.97025,             0.86884,            0.011044,           0.0059648,          0.00057298,           0.0072657,           0.0072657,           0.0072657
                  16,            0.016452,           0.0088932,           0.0012201,             0.90468,             0.92611,             0.96955,              0.8763,             0.01069,           0.0061089,          0.00050375,           0.0072354,           0.0072354,           0.0072354
                  17,            0.016365,           0.0088625,           0.0012238,             0.90227,             0.92634,             0.97033,             0.87652,            0.010789,           0.0060479,            0.000597,            0.007205,            0.007205,            0.007205
                  18,            0.016156,           0.0087935,           0.0011829,             0.90501,             0.93386,             0.97274,             0.87307,            0.011272,           0.0058876,          0.00045706,           0.0071747,           0.0071747,           0.0071747
                  19,            0.016158,           0.0088507,           0.0011941,              0.9182,             0.93255,             0.97666,             0.89422,           0.0096887,           0.0055166,          0.00044826,           0.0071444,           0.0071444,           0.0071444
                  20,            0.015891,           0.0087571,           0.0011396,             0.91638,             0.93524,              0.9752,             0.90105,           0.0094011,           0.0055859,          0.00045113,           0.0071141,           0.0071141,           0.0071141
                  21,            0.015909,           0.0086803,           0.0012046,             0.92498,             0.93552,             0.97783,             0.90863,           0.0090933,           0.0052528,          0.00040189,           0.0070838,           0.0070838,           0.0070838
                  22,            0.015757,           0.0086839,           0.0011627,             0.92365,             0.93748,             0.97818,             0.91326,           0.0087919,           0.0052803,           0.0003904,           0.0070535,           0.0070535,           0.0070535
                  23,            0.015767,           0.0086833,           0.0011554,             0.91312,             0.94502,             0.97562,             0.90735,            0.008871,           0.0054788,          0.00039559,           0.0070232,           0.0070232,           0.0070232
                  24,            0.015555,           0.0085069,           0.0011048,             0.91559,             0.94766,             0.97683,             0.91414,           0.0086594,           0.0053626,           0.0003909,           0.0069929,           0.0069929,           0.0069929
                  25,            0.015478,           0.0085256,           0.0011533,              0.9205,              0.9381,             0.97754,             0.92218,           0.0082305,           0.0051691,          0.00037778,           0.0069626,           0.0069626,           0.0069626
