               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087027,             0.11966,            0.034511,             0.46216,             0.56343,             0.45311,             0.15136,            0.059682,            0.093967,            0.014343,            0.070204,           0.0033107,           0.0033107
                   1,            0.069527,              0.1005,            0.015785,             0.59201,             0.54137,             0.56143,             0.20082,            0.054624,            0.088222,           0.0086182,            0.040138,           0.0065782,           0.0065782
                   2,            0.060215,             0.10147,            0.010946,              0.5621,             0.84596,             0.81752,             0.43592,            0.043855,            0.089765,           0.0076963,            0.010007,           0.0097798,           0.0097798
                   3,            0.051962,            0.093662,           0.0083048,             0.85688,             0.83317,              0.8781,             0.39263,            0.037735,            0.083359,           0.0060032,            0.009703,            0.009703,            0.009703
                   4,            0.042597,             0.08601,           0.0065106,              0.9793,             0.95113,             0.98044,             0.69786,            0.026389,             0.06919,           0.0042506,            0.009703,            0.009703,            0.009703
                   5,            0.038493,            0.081579,           0.0055444,             0.98339,             0.95211,             0.98283,             0.74451,            0.025794,            0.067665,           0.0035889,            0.009604,            0.009604,            0.009604
                   6,             0.03701,            0.080394,           0.0051336,             0.98701,             0.96163,             0.98465,             0.77256,            0.023163,            0.063203,           0.0038676,            0.009505,            0.009505,            0.009505
                   7,            0.034213,            0.077146,           0.0046551,             0.98747,             0.95841,             0.98406,             0.72493,            0.021536,            0.063356,           0.0030201,            0.009406,            0.009406,            0.009406
                   8,            0.032584,            0.074071,           0.0043289,             0.98546,             0.96677,             0.98579,             0.80213,            0.018219,            0.058296,           0.0032421,            0.009307,            0.009307,            0.009307
                   9,            0.032589,            0.072521,           0.0041749,             0.98842,             0.96183,             0.98313,             0.73383,            0.023205,            0.062505,           0.0028957,            0.009208,            0.009208,            0.009208
                  10,            0.032284,            0.073251,           0.0040137,             0.99212,             0.96192,             0.98586,             0.81221,            0.018246,            0.057501,           0.0030362,            0.009109,            0.009109,            0.009109
                  11,            0.029968,            0.071022,           0.0037553,             0.99265,             0.96769,             0.98537,             0.79932,            0.019502,            0.058155,           0.0029294,             0.00901,             0.00901,             0.00901
                  12,            0.030223,            0.070365,           0.0036352,             0.99213,             0.96701,             0.98648,             0.82624,            0.017363,            0.054353,           0.0026861,            0.008911,            0.008911,            0.008911
