   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.98986,             0.96916,             0.98753,             0.84037,            0.014179,            0.043079,           0.0017196,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.99001,             0.96936,             0.98794,             0.83633,            0.014424,            0.041013,           0.0016424,             0.00978,                0.01,               0.937,             0.00048,                   3,             0.75326,             0.09168,             0.05006,             0.48332,             0.91263,             0.95772,              1.0143,                 0.2,              3.8256,                   0,             0.01635,             0.63493,             0.40103,                   0,             0.10707,                 0.5,                   0,                   0,                   0,                 0.5,             0.98207,                   0,                   0,              2.8289
             0.98992,             0.96667,             0.98739,             0.84345,            0.018207,            0.045159,           0.0022042,              0.0082,             0.01277,               0.937,             0.00058,               3.045,                 0.8,             0.10583,             0.05859,                 0.5,                   1,              0.8447,                   1,                 0.2,              5.0202,                   0,               0.015,             0.73765,                 0.4,                   0,             0.10963,             0.47024,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3292
             0.98772,             0.96732,             0.98877,             0.81773,            0.015622,            0.044916,           0.0017719,             0.00932,                0.01,             0.90628,              0.0005,               2.979,             0.86826,             0.10433,             0.04636,             0.46053,             0.83356,             0.93218,              1.0541,                 0.2,              4.1885,                   0,               0.015,             0.67449,             0.42767,                   0,                 0.1,              0.4378,                   0,                   0,                   0,                 0.5,             0.98212,                   0,                   0,              3.0756
             0.98627,             0.96883,             0.98795,             0.84173,            0.016172,            0.051143,           0.0016839,             0.01003,             0.01047,             0.94547,             0.00064,              2.9247,             0.75326,             0.08597,              0.0483,             0.44848,             0.91786,             0.95772,              1.0143,                 0.2,              4.9163,                   0,             0.01635,             0.72855,             0.35902,                   0,             0.12409,             0.50205,                   0,                   0,                   0,                 0.5,             0.98207,                   0,                   0,              3.4717
             0.98869,             0.97044,             0.98818,             0.84214,            0.021144,            0.049964,           0.0046205,             0.00978,                0.01,             0.94572,             0.00048,              3.5099,             0.76078,             0.11502,             0.05233,             0.56328,             0.81737,               1.165,              1.0259,                 0.2,              3.8256,                   0,             0.01845,              0.6578,             0.40454,                   0,             0.11245,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.0594
             0.99082,             0.96884,             0.98892,             0.83294,            0.011842,            0.027686,           0.0013587,             0.01143,                0.01,             0.94163,             0.00039,               3.634,             0.90786,             0.10378,              0.0429,                 0.5,              1.1574,              0.6266,              1.0245,                 0.2,                   4,                   0,             0.01048,             0.81872,                 0.4,                   0,             0.12345,                 0.5,                   0,                   0,                   0,                 0.5,             0.76019,                   0,                   0,                   3
             0.99121,             0.96806,             0.98851,             0.85062,            0.013565,            0.042572,           0.0015398,             0.01056,             0.01064,             0.94969,             0.00046,              2.9543,             0.78604,             0.10525,             0.05441,             0.53566,             0.92577,               1.056,             0.94769,                 0.2,              3.8423,                   0,              0.0159,             0.68516,             0.35636,                   0,             0.10406,             0.47832,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.99138,             0.96963,             0.98794,             0.85279,            0.020128,            0.040864,           0.0020015,             0.01006,                0.01,             0.94841,             0.00056,              2.7119,             0.87608,             0.08597,             0.05633,             0.46001,             0.90069,              0.7294,              1.1238,                 0.2,              5.1463,                   0,             0.01635,             0.75185,             0.34629,                   0,             0.12525,             0.46257,                   0,                   0,                   0,                 0.5,             0.89431,                   0,                   0,              2.0741
              0.9894,             0.96786,             0.98706,             0.84768,             0.02465,            0.046469,           0.0030782,              0.0082,              0.0124,             0.94268,             0.00054,               3.125,             0.76744,             0.11126,             0.05551,             0.46413,             0.95603,             0.87279,             0.95137,                 0.2,              5.0062,                   0,             0.01588,             0.73778,             0.36252,                   0,             0.11707,             0.44134,                   0,                   0,                   0,                 0.5,             0.95288,                   0,                   0,              3.5032
