               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.021678,0.057702,0.0028714,0.98986,0.96916,0.98753,0.84037,0.014179,0.043079,0.0017196,0.00208,0.00208,0.00208
1,0.022041,0.055446,0.0027801,0.99001,0.96936,0.98794,0.83633,0.014424,0.041013,0.0016424,0.0020342,0.0020342,0.0020342
2,0.026484,0.055711,0.0034011,0.98992,0.96667,0.98739,0.84345,0.018207,0.045159,0.0022042,0.0017238,0.0017238,0.0017238
3,0.020825,0.058105,0.0028358,0.98772,0.96732,0.98877,0.81773,0.015622,0.044916,0.0017719,0.0019386,0.0019386,0.0019386
4,0.021952,0.063475,0.0027637,0.98627,0.96883,0.98795,0.84173,0.016172,0.051143,0.0016839,0.00209,0.00209,0.00209
5,0.029502,0.070567,0.0048487,0.98869,0.97044,0.98818,0.84214,0.021144,0.049964,0.0046205,0.0020342,0.0020342,0.0020342
6,0.018413,0.033573,0.0026701,0.99082,0.96884,0.98892,0.83294,0.011842,0.027686,0.0013587,0.0023774,0.0023774,0.0023774
7,0.022345,0.056853,0.0027678,0.99121,0.96806,0.98851,0.85062,0.013565,0.042572,0.0015398,0.0022019,0.0022019,0.0022019
8,0.024516,0.047922,0.002887,0.99138,0.96963,0.98794,0.85279,0.020128,0.040864,0.0020015,0.0020925,0.0020925,0.0020925
9,0.03035,0.056502,0.0047614,0.9894,0.96786,0.98706,0.84768,0.02465,0.046469,0.0030782,0.0017213,0.0017213,0.0017213
10,0.022471,0.052646,0.0025942,0.9896,0.96777,0.98731,0.83738,0.01563,0.042885,0.0016401,0.0017936,0.0017936,0.0017936
11,0.021616,0.05575,0.0029315,0.98939,0.96757,0.9876,0.83302,0.014636,0.0448,0.0018172,0.0014833,0.0014833,0.0014833
12,0.03762,0.059433,0.0056042,0.99111,0.9634,0.98598,0.8512,0.037055,0.046734,0.0041807,0.0016269,0.0016269,0.0016269
13,0.029369,0.05641,0.0044834,0.98819,0.97073,0.98722,0.83583,0.025008,0.049472,0.003774,0.0017276,0.0017276,0.0017276
14,0.030891,0.055883,0.0049717,0.98951,0.96746,0.98706,0.83164,0.027835,0.049258,0.0036711,0.0018389,0.0018389,0.0018389
15,0.031861,0.060468,0.0051252,0.99032,0.96964,0.98726,0.84877,0.028336,0.049971,0.003673,0.001778,0.001778,0.001778
16,0.02554,0.058841,0.0031798,0.98918,0.96687,0.98711,0.84336,0.019362,0.051051,0.0019827,0.0017822,0.0017822,0.0017822
17,0.025892,0.058933,0.003222,0.99235,0.96596,0.98791,0.84047,0.018896,0.049575,0.0020978,0.0018196,0.0018196,0.0018196
18,0.030066,0.052029,0.0051402,0.99067,0.96869,0.98758,0.85154,0.027197,0.045928,0.0033712,0.0017777,0.0017777,0.0017777
19,0.022616,0.056619,0.0026812,0.99133,0.9706,0.98907,0.84836,0.014453,0.042528,0.0015055,0.0021998,0.0021998,0.0021998
20,0.023518,0.061806,0.0029144,0.9872,0.96811,0.98897,0.84741,0.014288,0.045199,0.0015922,0.0022962,0.0022962,0.0022962
21,0.016223,0.036206,0.0022135,0.99183,0.97051,0.98933,0.84916,0.01044,0.028719,0.0010993,0.0021097,0.0021097,0.0021097
22,0.022728,0.052749,0.0028634,0.9898,0.96836,0.98871,0.83351,0.016769,0.040403,0.0017392,0.0019854,0.0019854,0.0019854
