               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083875,            0.072123,            0.030546,             0.38054,             0.65562,              0.4847,             0.23014,            0.062112,            0.057638,            0.009741,              0.0837,            0.002581,            0.002581
                   1,            0.063131,            0.056633,            0.012052,             0.35019,             0.82931,             0.48971,             0.21417,             0.05966,            0.053847,           0.0058071,            0.044987,           0.0051287,           0.0051287
                   2,            0.052282,            0.053714,           0.0077094,             0.89014,             0.93298,             0.93686,             0.58722,             0.03093,             0.04703,           0.0045949,           0.0075385,           0.0075385,           0.0075385
                   3,            0.040292,            0.048521,           0.0052502,             0.97221,             0.95091,             0.97819,             0.65758,            0.027514,            0.043895,           0.0031099,           0.0075385,           0.0075385,           0.0075385
                   4,            0.032793,            0.045622,           0.0039354,             0.98719,             0.95971,             0.98201,             0.72456,            0.023909,            0.042439,           0.0025528,           0.0074627,           0.0074627,           0.0074627
                   5,            0.029561,            0.044386,           0.0032677,             0.98498,             0.95999,             0.98417,             0.73154,            0.022315,            0.040597,           0.0020141,           0.0073869,           0.0073869,           0.0073869
                   6,            0.027218,            0.041912,           0.0026844,             0.98918,             0.96173,             0.98465,             0.79787,            0.019313,            0.037632,           0.0018882,           0.0073111,           0.0073111,           0.0073111
                   7,            0.026122,            0.041275,           0.0025323,             0.98654,              0.9606,             0.98266,             0.77873,            0.018247,             0.03724,           0.0018565,           0.0072354,           0.0072354,           0.0072354
                   8,             0.02547,            0.041104,           0.0023046,              0.9875,             0.96035,             0.98169,             0.80073,            0.017796,            0.036455,           0.0017061,           0.0071596,           0.0071596,           0.0071596
                   9,            0.024069,            0.039196,           0.0022027,             0.98652,             0.96646,             0.98601,               0.811,             0.01607,            0.034765,           0.0014583,           0.0070838,           0.0070838,           0.0070838
                  10,            0.023619,            0.038144,           0.0019843,             0.99039,             0.96779,             0.98617,             0.83018,            0.015101,             0.03315,           0.0014425,            0.007008,            0.007008,            0.007008
                  11,            0.023518,            0.038511,           0.0019371,             0.99228,             0.97206,             0.98805,             0.81781,            0.016008,            0.033979,           0.0014794,           0.0069323,           0.0069323,           0.0069323
                  12,            0.022825,            0.036968,           0.0018982,             0.98995,               0.969,             0.98734,             0.82153,            0.015095,            0.033279,           0.0012566,           0.0068565,           0.0068565,           0.0068565
                  13,            0.021942,            0.036608,           0.0018937,             0.99258,             0.96976,             0.98778,             0.83553,            0.015036,            0.032898,            0.001225,           0.0067807,           0.0067807,           0.0067807
                  14,            0.021616,            0.035943,           0.0017727,             0.99211,             0.97205,             0.98718,             0.85113,            0.014946,            0.031543,           0.0012765,           0.0067049,           0.0067049,           0.0067049
                  15,            0.021102,            0.035376,           0.0017236,             0.99333,             0.97067,             0.98586,             0.83256,            0.014922,            0.032196,           0.0012715,           0.0066292,           0.0066292,           0.0066292
                  16,            0.021451,            0.035681,           0.0017185,             0.99252,             0.97149,             0.98688,             0.83256,            0.014995,            0.032629,           0.0011143,           0.0065534,           0.0065534,           0.0065534
                  17,            0.021099,            0.035488,           0.0016931,             0.99279,             0.97165,             0.98719,              0.8503,            0.015618,            0.032532,           0.0010783,           0.0064776,           0.0064776,           0.0064776
                  18,            0.020926,            0.034632,           0.0016371,             0.99317,             0.97031,             0.98732,             0.85939,            0.013654,            0.030633,           0.0012743,           0.0064018,           0.0064018,           0.0064018
                  19,            0.019964,             0.03396,           0.0015487,              0.9905,             0.97484,             0.98659,             0.85111,             0.01435,            0.031234,           0.0011019,           0.0063261,           0.0063261,           0.0063261
                  20,            0.020239,            0.034159,           0.0015221,             0.99332,              0.9721,             0.98646,             0.83137,            0.014689,            0.031432,           0.0010885,           0.0062503,           0.0062503,           0.0062503
                  21,            0.019842,            0.033419,             0.00154,             0.99062,             0.97395,             0.98748,             0.85775,            0.013652,            0.030919,           0.0010363,           0.0061745,           0.0061745,           0.0061745
                  22,             0.01947,            0.032678,           0.0016035,             0.99085,             0.97163,             0.98722,             0.86548,            0.013639,            0.030349,           0.0010121,           0.0060987,           0.0060987,           0.0060987
                  23,            0.019199,            0.032977,           0.0014763,             0.99304,             0.97006,               0.985,             0.86579,             0.01285,            0.029623,            0.001048,            0.006023,            0.006023,            0.006023
                  24,            0.019474,             0.03269,           0.0014904,             0.99427,             0.97196,             0.98712,             0.86214,            0.014073,            0.030716,          0.00098951,           0.0059472,           0.0059472,           0.0059472
                  25,            0.018865,            0.032348,           0.0014342,             0.99398,             0.97219,             0.98756,             0.86909,              0.0131,            0.029898,           0.0010016,           0.0058714,           0.0058714,           0.0058714
